Date,Open,High,Low,Close,% Change,Volume
6/1997,19.25,19.33,17.60,17.74,-0.0634,2101756800
5/1997,19.18,21.23,17.50,18.94,-0.0105,2384592800
4/1997,17.41,19.20,16.04,19.14,0.10060000000000001,2472320800
3/1997,17.64,18.79,15.73,17.39,-0.0197,2181638400
2/1997,20.44,20.63,17.13,17.74,-0.1257,2158319200
1/1997,16.41,20.50,15.95,20.29,0.2395,2230825600
12/1996,15.75,17.69,15.42,16.37,0.0341,1807088800
11/1996,13.11,15.91,13.09,15.83,0.2132,1672116800
10/1996,12.09,14.28,11.78,13.05,0.09359999999999999,1783640000
9/1996,9.89,12.44,9.81,11.93,0.1747,1289012000
8/1996,9.20,10.41,9.14,10.16,0.1149,1239524800
7/1996,9.22,9.49,8.02,9.11,-0.013500000000000002,1964907200
6/1996,9.39,9.72,8.78,9.23,0.035,1112619200
5/1996,8.48,9.20,8.31,8.92,0.04769999999999999,1272625600
4/1996,7.14,8.80,7.05,8.52,0.2032,1652880000
3/1996,7.20,7.53,6.65,7.08,-0.0373,1386664000
2/1996,6.81,7.70,6.72,7.35,0.08039999999999999,1135956000
1/1996,7.17,7.42,6.23,6.81,-0.0407,2392518400
12/1995,7.67,8.00,6.90,7.09,-0.0678,1242437600
11/1995,8.84,9.14,7.49,7.61,-0.1288,1635819200
10/1995,7.58,8.92,7.22,8.74,0.16219999999999998,1745368800
9/1995,7.66,8.33,7.16,7.52,-0.020499999999999997,1444776800
8/1995,8.13,8.41,7.14,7.67,-0.0556,1973017600
7/1995,7.92,9.80,7.81,8.13,0.026699999999999998,2233384000
6/1995,7.03,8.30,6.84,7.91,0.128,1925158000
5/1995,6.47,7.44,6.43,7.02,0.0964,2722372800
4/1995,5.30,6.51,5.28,6.40,0.20620000000000002,2062513600
3/1995,4.98,5.63,4.90,5.31,0.0644,1952177600
2/1995,4.34,5.05,4.32,4.98,0.1494,1553358400
1/1995,3.98,4.48,3.94,4.34,0.0859,1992945600
